Snaking,Path Information,Column Depth,Epochs Trained,NLLL,Empty Percentage,Interesting Percentage,Average Leniency,Average linearity
False,False,False,6,0.06326860561025302,0.86991796875,0.043640625,-7.21,0.07901754660945816
True,False,False,6,0.061387957589913104,0.86546875,0.04880078125,-2.22,0.2672397580567635
False,True,False,6,0.0617281685827295,0.8565507812500001,0.06605078125000001,-13.57,0.0876056909102095
True,True,False,6,0.06182504413642592,0.88859375,0.032453125,-3.75,0.21405119471698647
False,False,True,6,0.061319081668371925,0.87993359375,0.04189453125,-4.54,0.07854624042962538
True,False,True,6,0.0613211345038143,0.8658437499999999,0.050539062499999995,-0.6,0.2401576611840633
False,True,True,7,0.062080063850358067,0.88201171875,0.03994921875,-3.8,0.08697346915368494
True,True,True,6,0.062039016522199314,0.8813515624999999,0.04416015625,2.71,0.18115861009745746
